stage,name,observed,threshold,passed,justification,decision,t14_recommendation
sufficiency,eligible_all,24,20,true,at least 20 of 24 cases eligible,,
sufficiency,eligible_n6,12,10,true,at least 10 of 12 N=6 cases eligible,,
sufficiency,eligible_n10,12,10,true,at least 10 of 12 N=10 cases eligible,,
sufficiency,diagnostics,1,1,true,all eligible cases pass numerical diagnostics,,
sufficiency,manifest,1,1,true,all 24 frozen IDs present without substitution,,
sufficiency,frozen_integrity,1,1,true,phase-A and 70 earlier artifacts remain immutable,,
scientific,zero_false_safe,0,0,true,"zero conservative false-safe cases at 1%, 5%, and 10%",,
scientific,antivacuity_3_6_9,36,18,true,"at least 3, 6, and 9 predicted-safe eligible cases",,
scientific,both_n_5_10pct,1,1,true,both N values represented among predicted safe at 5% and 10%,,
scientific,global_rmse_log,0.46509569258754629,0.69314718055994529,true,global RMSE log at most ln(2),,
scientific,global_factor_2,0.875,0.80000000000000004,true,global factor-two fraction at least 80%,,
scientific,global_spearman,0.96434782608695646,0.90000000000000002,true,global Spearman at least 0.90,,
scientific,n6_rmse_log,0.45486374483448461,0.69314718055994529,true,N=6 RMSE log at most ln(2),,
scientific,n10_rmse_log,0.47510733541182842,0.69314718055994529,true,N=10 RMSE log at most ln(2),,
scientific,n6_factor_2,0.83333333333333337,0.75,true,N=6 factor-two fraction at least 75%,,
scientific,n10_factor_2,0.91666666666666663,0.75,true,N=10 factor-two fraction at least 75%,,
scientific,protocol_immutable,1,1,true,"no frozen coefficient, margin, threshold, case, or rule changed",,
decision,final_decision,1,1,true,literal preregistered gate result,PASS_T13_EXTERNAL_VALIDATION_LAMBDA_MAX,GO_T14_SCALE_OUT_WITH_FROZEN_LAMBDA_MAX
