stage,name,observed,threshold,passed,justification,decision,next_gate,large_n_trend
sufficiency,eligible_all,24,20,true,at least 20 of 24 cases eligible,,,
sufficiency,eligible_n45,12,10,true,at least 10 eligible cases for each N,,,
sufficiency,eligible_n105,12,10,true,at least 10 eligible cases for each N,,,
sufficiency,eligible_linear,8,6,true,at least six eligible cases for each family,,,
sufficiency,eligible_compact,8,6,true,at least six eligible cases for each family,,,
sufficiency,eligible_irregular,8,6,true,at least six eligible cases for each family,,,
sufficiency,eligible_level_1,6,5,true,at least five eligible cases for each level,,,
sufficiency,eligible_level_2,6,5,true,at least five eligible cases for each level,,,
sufficiency,eligible_level_3,6,5,true,at least five eligible cases for each level,,,
sufficiency,eligible_level_4,6,5,true,at least five eligible cases for each level,,,
sufficiency,predicted_safe_eligible_0.01,6,6,true,all blindly predicted-safe cases are eligible,,,
sufficiency,predicted_safe_eligible_0.05,12,12,true,all blindly predicted-safe cases are eligible,,,
sufficiency,predicted_safe_eligible_0.1,18,18,true,all blindly predicted-safe cases are eligible,,,
sufficiency,manifest_intact,1,1,true,manifest and frozen predictions are intact,,,
sufficiency,phase_a_integrity,1,1,true,five phase-A artifacts are byte-identical,,,
sufficiency,prior_integrity,1,1,true,all prior artifact hashes are preserved,,,
sufficiency,maximum_lmax,11,13,true,no solve exceeds Lmax=13,,,
sufficiency,protocol_immutable,1,1,true,no frozen rule changed after first push,,,
scientific,zero_false_safe,0,0,true,zero false-safe cases at all tolerances,,,
scientific,blind_counts_6_12_18,36,36,true,blind 6/12/18 safe counts are preserved,,,
scientific,global_rmse_log,0.30428741758101263,0.69314718055994529,true,global RMSE log at most ln(2),,,
scientific,n45_rmse_log,0.2998410355482452,0.69314718055994529,true,per-N RMSE log at most ln(2),,,
scientific,n105_rmse_log,0.30866975620815057,0.69314718055994529,true,per-N RMSE log at most ln(2),,,
scientific,global_factor_2,1,0.80000000000000004,true,global factor-two fraction at least 80%,,,
scientific,n45_factor_2,1,0.75,true,per-N factor-two fraction at least 75%,,,
scientific,n105_factor_2,1,0.75,true,per-N factor-two fraction at least 75%,,,
scientific,global_spearman,0.94931497265256559,0.90000000000000002,true,global Spearman at least 0.90,,,
scientific,frozen_predictor,1,1,true,M1 and P3 remain frozen,,,
diagnostic,matched_large_n_trend,12,10,true,frozen diagnostic N=105/N=45 trend classification,,,NO_SYSTEMATIC_DETERIORATION
decision,final_decision,1,1,true,literal preregistered T14.1 gate result,PASS_T14_1_LARGE_N_FROZEN_LAMBDA_MAX,GO_T15_SYNTHESIS_AND_MANUSCRIPT,NO_SYSTEMATIC_DETERIORATION
