stage,name,observed,threshold,passed,justification,decision,next_gate
sufficiency,eligible_all,24,20,true,at least 20 of 24 cases eligible,,
sufficiency,eligible_n15,12,10,true,at least 10 eligible cases for each N,,
sufficiency,eligible_n28,12,10,true,at least 10 eligible cases for each N,,
sufficiency,eligible_linear,8,6,true,at least six eligible cases for each family,,
sufficiency,eligible_compact,8,6,true,at least six eligible cases for each family,,
sufficiency,eligible_irregular,8,6,true,at least six eligible cases for each family,,
sufficiency,eligible_level_1,6,5,true,at least five eligible cases for each target level,,
sufficiency,eligible_level_2,6,5,true,at least five eligible cases for each target level,,
sufficiency,eligible_level_3,6,5,true,at least five eligible cases for each target level,,
sufficiency,eligible_level_4,6,5,true,at least five eligible cases for each target level,,
sufficiency,predicted_safe_eligible_0.01,6,6,true,all blindly predicted-safe cases are eligible,,
sufficiency,predicted_safe_eligible_0.05,12,12,true,all blindly predicted-safe cases are eligible,,
sufficiency,predicted_safe_eligible_0.1,18,18,true,all blindly predicted-safe cases are eligible,,
sufficiency,manifest_intact,1,1,true,manifest and frozen predictions are intact,,
sufficiency,phase_a_integrity,1,1,true,four phase-A artifacts are byte-identical,,
sufficiency,prior_integrity,1,1,true,all prior artifact hashes are preserved,,
sufficiency,maximum_lmax,11,13,true,no solve exceeds Lmax=13,,
sufficiency,protocol_immutable,1,1,true,no frozen rule changed after first push,,
scientific,zero_false_safe,0,0,true,zero false-safe cases at all tolerances,,
scientific,blind_counts_6_12_18,36,36,true,blind 6/12/18 safe counts are preserved,,
scientific,global_rmse_log,0.34301137024205131,0.69314718055994529,true,global RMSE log at most ln(2),,
scientific,n15_rmse_log,0.37098685064152775,0.69314718055994529,true,N=15 RMSE log at most ln(2),,
scientific,n28_rmse_log,0.31254176821944923,0.69314718055994529,true,N=28 RMSE log at most ln(2),,
scientific,global_factor_2,1,0.80000000000000004,true,global factor-two fraction at least 80%,,
scientific,n15_factor_2,1,0.75,true,N=15 factor-two fraction at least 75%,,
scientific,n28_factor_2,1,0.75,true,N=28 factor-two fraction at least 75%,,
scientific,global_spearman,0.92368507165895797,0.90000000000000002,true,global Spearman at least 0.90,,
scientific,frozen_predictor,1,1,true,predictor and protocol remain frozen,,
decision,final_decision,1,1,true,literal preregistered T14 gate result,PASS_T14_SCALE_OUT_FROZEN_LAMBDA_MAX,GO_T15_SYNTHESIS_AND_MANUSCRIPT
